1,AAA,CTCP Nhựa An Phát Xanh,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
195,LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang,Bất động sản,HOSE,,,,
196,LHG,CTCP Long Hậu,Bất động sản,HOSE,,,,
197,LIX,CTCP Bột Giặt Lix,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
198,LM8,CTCP Lilama 18,Nhà thầu chuyên môn,HOSE,,,,
199,LMH,CTCP Landmark Holding,Bán buôn hàng tiêu dùng,HOSE,,,,
200,LSS,CTCP Mía Đường Lam Sơn,Sản xuất thực phẩm,HOSE,,,,
201,MBB,Ngân hàng TMCP Quân Đội,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
202,MCG,CTCP Cơ điện và Xây dựng Việt Nam,"Sản xuất thiết bị, máy móc",HOSE,,,,
203,MCP,CTCP In và Bao bì Mỹ Châu,Sản xuất sản phẩm kim loại tổng hợp,HOSE,,,,
204,MDG,CTCP Miền Đông,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
205,MHC,CTCP MHC,Vận tải đường thủy,HOSE,,,,
206,MSH,CTCP May Sông Hồng,Sản xuất các sản phẩm may mặc,HOSE,,,,
207,MSN,CTCP Tập đoàn Masan,Sản xuất thực phẩm,HOSE,,,,
208,MWG,CTCP Đầu tư Thế giới Di động,Cửa hàng thiết bị điện tử gia đình,HOSE,,,,
209,NAF,CTCP Nafoods Group,Sản xuất thực phẩm,HOSE,,,,
210,NAV,CTCP Nam Việt,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",HOSE,,,,
211,NBB,CTCP Đầu tư Năm Bảy Bảy,Phát triển bất động sản,HOSE,,,,
212,NCT,CTCP Dịch vụ Hàng hóa Nội Bài,Hỗ trợ vận tải,HOSE,,,,
213,NHH,CTCP Nhựa Hà Nội,"Sản xuất thiết bị, máy móc",HOSE,,,,
214,NKG,CTCP Thép Nam Kim,Sản xuất các sản phẩm kim loại cơ bản,HOSE,,,,
215,NLG,CTCP Đầu tư Nam Long,Phát triển bất động sản,HOSE,,,,
216,NNC,CTCP Đá Núi Nhỏ,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
217,NSC,CTCP Tập đoàn Giống cây trồng Việt Nam,Trồng trọt,HOSE,,,,
218,NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
219,NTL,CTCP Phát triển Đô thị Từ Liêm,Phát triển bất động sản,HOSE,,,,
220,NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va,Phát triển bất động sản,HOSE,,,,
221,NVT,CTCP Bất động sản Du lịch Ninh Vân Bay,Khách sạn và phòng ở,HOSE,,,,
222,OGC,CTCP Tập đoàn Đại Dương,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
223,OPC,CTCP Dược phẩm OPC,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
224,PAC,CTCP Pin Ắc quy Miền Nam,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,,,,
225,PAN,CTCP Tập đoàn Pan,Sản xuất thực phẩm,HOSE,,,,
226,PC1,CTCP Xây lắp Điện I,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
227,PDN,CTCP Cảng Đồng Nai,Hỗ trợ vận tải,HOSE,,,,
228,PDR,CTCP Phát triển Bất động sản Phát Đạt,Phát triển bất động sản,HOSE,,,,
229,PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Bán buôn hàng lâu bền,HOSE,,,,
230,PGC,Tổng Công ty Gas Petrolimex - CTCP,Phân phối khí đốt thiên nhiên,HOSE,,,,
231,PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,Phân phối khí đốt thiên nhiên,HOSE,,,,
232,PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex,Bảo hiểm và các hoạt động liên quan,HOSE,,,,
233,PHC,CTCP Xây dựng Phục Hưng Holdings,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
234,PHR,CTCP Cao su Phước Hòa,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
235,PIT,CTCP Xuất nhập khẩu Petrolimex,Bán buôn hàng tiêu dùng,HOSE,,,,
236,PJT,CTCP Vận tải Xăng dầu đường Thủy Petrolimex,Vận tải đường thủy,HOSE,,,,
237,PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
238,PLX,Tập đoàn Xăng Dầu Việt Nam,Bán buôn hàng tiêu dùng,HOSE,,,,
239,PME,CTCP Pymepharco,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
240,PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung,Bán buôn hàng tiêu dùng,HOSE,,,,
241,PNC,CTCP Văn hóa Phương Nam,Bán lẻ hàng hóa khác,HOSE,,,,
242,PNJ,CTCP Vàng bạc Đá quý Phú Nhuận,Sản xuất sản phẩm kim loại tổng hợp,HOSE,,,,
243,POM,CTCP Thép Pomina,Sản xuất các sản phẩm kim loại cơ bản,HOSE,,,,
244,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
245,PPC,CTCP Nhiệt điện Phả Lại,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
246,PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,Bán buôn hàng tiêu dùng,HOSE,,,,
247,PTB,CTCP Phú Tài,Bán buôn hàng lâu bền,HOSE,,,,
248,PTC,CTCP Đầu tư và Xây dựng Bưu điện,Nhà thầu chuyên môn,HOSE,,,,
249,PTL,CTCP Đầu tư Hạ tầng và Đô thị Dầu khí,Bất động sản,HOSE,,,,
250,PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,Các hoạt động hỗ trợ Khai khoáng,HOSE,,,,
251,PVT,Tổng Công ty cổ phần Vận tải Dầu khí,Vận tải đường thủy,HOSE,,,,
252,PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,Phát triển bất động sản,HOSE,,,,
253,PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
254,PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
255,QBS,CTCP Xuất nhập khẩu Quảng Bình,Bán buôn hàng tiêu dùng,HOSE,,,,
256,QCG,CTCP Quốc Cường Gia Lai,Phát triển bất động sản,HOSE,,,,
257,RAL,CTCP Bóng đèn Phích nước Rạng Đông,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,,,,
258,RDP,CTCP Rạng Đông Holding,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
259,REE,CTCP Cơ Điện Lạnh,Nhà thầu chuyên môn,HOSE,,,,
260,RIC,CTCP Quốc tế Hoàng Gia,"Công nghiệp giải trí, đánh bạc và tiêu khiển",HOSE,,,,
261,ROS,CTCP Xây dựng FLC Faros,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
262,S4A,CTCP Thủy điện Sê San 4A,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
263,SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn,Sản xuất đồ uống và thuốc lá,HOSE,,,,
264,SAM,CTCP SAM HOLDINGS,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,,,,
265,SAV,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,HOSE,,,,
266,SBA,CTCP Sông Ba,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
267,SBT,CTCP Thành Thành Công - Biên Hòa,Sản xuất thực phẩm,HOSE,,,,
268,SBV,CTCP Siam Brothers Việt Nam,Sản xuất khác,HOSE,,,,
269,SC5,CTCP Xây dựng Số 5,"Xây dựng nhà cửa, cao ốc",HOSE,,,,
270,SCD,CTCP Nước giải khát Chương Dương,Sản xuất đồ uống và thuốc lá,HOSE,,,,
271,SCR,CTCP Địa ốc Sài Gòn Thương Tín,Phát triển bất động sản,HOSE,,,,
272,SCS,CTCP Dịch vụ Hàng hóa Sài Gòn,Hỗ trợ vận tải,HOSE,,,,
273,SFC,CTCP Nhiên liệu Sài Gòn,Trạm xăng,HOSE,,,,
274,SFG,CTCP Phân Bón Miền Nam,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
275,SFI,CTCP Đại lý Vận tải SAFI,Hỗ trợ vận tải,HOSE,,,,
276,SGN,CTCP Phục vụ Mặt đất Sài Gòn,Hỗ trợ vận tải,HOSE,,,,
277,SGR,CTCP Địa ốc Sài Gòn,Bất động sản,HOSE,,,,
278,SGT,CTCP Công nghệ Viễn Thông Sài Gòn,Bán buôn hàng lâu bền,HOSE,,,,
279,SHA,CTCP Sơn Hà Sài Gòn,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,HOSE,,,,
280,SHI,CTCP Quốc tế Sơn Hà,Sản xuất sản phẩm kim loại tổng hợp,HOSE,,,,
281,SHP,CTCP Thủy điện Miền Nam,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
282,SII,CTCP Hạ tầng Nước Sài Gòn,"Nước, chất thải và các hệ thống khác",HOSE,,,,
283,SJD,CTCP Thủy điện Cần Đơn,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
284,SJF,CTCP Đầu tư Sao Thái Dương,Trồng trọt,HOSE,,,,
285,SJS,CTCP Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,Bất động sản,HOSE,,,,
286,SKG,CTCP Tàu cao tốc Superdong - Kiên Giang,Vận tải đường thủy,HOSE,,,,
287,SMA,CTCP Thiết bị Phụ tùng Sài Gòn,Bán buôn hàng lâu bền,HOSE,,,,
288,SMB,CTCP Bia Sài Gòn - Miền Trung,Sản xuất đồ uống và thuốc lá,HOSE,,,,
289,SMC,CTCP Đầu tư Thương mại SMC,Bán buôn hàng lâu bền,HOSE,,,,
290,SPM,CTCP SPM,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
291,SRC,CTCP Cao su Sao Vàng,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
292,SRF,CTCP Kỹ nghệ Lạnh,Nhà thầu chuyên môn,HOSE,,,,
293,SSC,CTCP Giống cây trồng Miền Nam,Trồng trọt,HOSE,,,,
294,SSI,CTCP Chứng khoán SSI,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
295,ST8,CTCP Siêu Thanh,Bán buôn hàng lâu bền,HOSE,,,,
296,STB,Ngân hàng TMCP Sài Gòn Thương Tín,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
297,STG,CTCP Kho vận Miền Nam,Kho bãi,HOSE,,,,
298,STK,CTCP Sợi Thế Kỷ,"Sản xuất sợi, vải",HOSE,,,,
299,SVC,CTCP Dịch vụ Tổng hợp Sài Gòn,Bán lẻ xe hơi và phụ tùng,HOSE,,,,
300,SVI,CTCP Bao bì Biên Hòa,Sản xuất giấy,HOSE,,,,
301,SVT,CTCP Công nghệ Sài Gòn Viễn Đông,Sản xuất phương tiện vận tải,HOSE,,,,
302,SZC,CTCP Sonadezi Châu Đức,Bất động sản,HOSE,,,,
303,SZL,CTCP Sonadezi Long Thành,Bất động sản,HOSE,,,,ádf
304,TAC,CTCP Dầu thực vật Tường An,Sản xuất thực phẩm,HOSE,,,,
305,TBC,CTCP Thủy điện Thác Bà,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
306,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
307,TCD,CTCP Đầu tư Phát triển Công nghiệp và Vận tải,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
308,TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,Bán buôn hàng lâu bền,HOSE,,,,
309,TCL,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Hỗ trợ vận tải,HOSE,,,,
310,TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công,Sản xuất các sản phẩm may mặc,HOSE,,,,
311,TCO,CTCP Vận tải Đa phương thức Duyên Hải,Hỗ trợ vận tải,HOSE,,,,
312,TCR,CTCP Công nghiệp Gốm sứ Taicera,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
313,TCT,CTCP Cáp treo Núi Bà Tây Ninh,Vận chuyển du lịch,HOSE,,,,
314,TDC,CTCP Kinh doanh và Phát triển Bình Dương,Phát triển bất động sản,HOSE,,,,
315,TDG,CTCP Dầu khí Thái Dương,Bán buôn hàng tiêu dùng,HOSE,,,,
316,TDH,CTCP Phát triển Nhà Thủ Đức,Bất động sản,HOSE,,,,
317,TDM,CTCP Nước Thủ Dầu Một,"Nước, chất thải và các hệ thống khác",HOSE,,,,
318,TDW,CTCP Cấp nước Thủ Đức,"Nước, chất thải và các hệ thống khác",HOSE,,,,
319,TEG,CTCP Bất động sản và Xây dựng Trường Thành,"Xây dựng nhà cửa, cao ốc",HOSE,,,,
320,TGG,CTCP Xây dựng và Đầu tư Trường Giang,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
321,THG,CTCP Đầu tư và Xây dựng Tiền Giang,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
322,THI,CTCP Thiết bị Điện,"Sản xuất thiết bị, máy móc",HOSE,,,,
323,TIP,CTCP Phát triển Khu Công nghiệp Tín Nghĩa,Bất động sản,HOSE,,,,
324,TIX,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Bất động sản,HOSE,,,,
325,TLD,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Sản xuất các sản phẩm gỗ,HOSE,,,,
326,TLG,CTCP Tập đoàn Thiên Long,Sản xuất khác,HOSE,,,,
327,TLH,CTCP Tập đoàn Thép Tiến Lên,Bán buôn hàng lâu bền,HOSE,,,,
328,TMP,CTCP Thủy điện Thác Mơ,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
329,TMS,CTCP Transimex,Hỗ trợ vận tải,HOSE,,,,
330,TMT,CTCP Ô tô TMT,Sản xuất phương tiện vận tải,HOSE,,,,
331,TN1,CTCP Thương mại Dịch vụ TNS Holdings,Bất động sản,HOSE,,,,
332,TNA,CTCP Thương mại Xuất nhập khẩu Thiên Nam,Bán buôn hàng lâu bền,HOSE,,,,
333,TNC,CTCP Cao su Thống Nhất,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
334,TNI,CTCP Tập đoàn Thành Nam,Bán buôn hàng lâu bền,HOSE,,,,
335,TNT,CTCP Tài Nguyên,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
336,TPB,Ngân hàng TMCP Tiên Phong,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
337,TPC,CTCP Nhựa Tân Đại Hưng,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
338,TRA,CTCP Traphaco,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
339,TRC,CTCP Cao su Tây Ninh,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
340,TS4,CTCP Thủy sản Số 4,Sản xuất thực phẩm,HOSE,,,,
341,TSC,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ,Bán buôn hàng tiêu dùng,HOSE,,,,
342,TTB,CTCP Tập đoàn Tiến Bộ,Bán buôn hàng lâu bền,HOSE,,,,
343,TTE,CTCP Đầu tư Năng lượng Trường Thịnh,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
344,TTF,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,HOSE,,,,
345,TV2,CTCP Tư vấn Xây dựng Điện 2,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",HOSE,,,,
346,TVB,CTCP Chứng khoán Trí Việt,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
347,TVS,CTCP Chứng khoán Thiên Việt,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
348,TVT,Tổng Công ty Việt Thắng - CTCP,"Sản xuất sợi, vải",HOSE,,,,
349,TYA,CTCP Dây và Cáp Điện Taya Việt Nam,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,,,,
350,UDC,CTCP Xây dựng và Phát triển Đô thị Tỉnh Bà Rịa Vũng Tàu,"Xây dựng nhà cửa, cao ốc",HOSE,,,,
351,UIC,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
352,VAF,CTCP Phân lân Nung chảy Văn Điển,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
353,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
354,VCF,CTCP Vinacafé Biên Hòa,Sản xuất đồ uống và thuốc lá,HOSE,,,,
355,VCI,CTCP Chứng khoán Bản Việt,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
356,VDP,CTCP Dược phẩm Trung ương VIDIPHA,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
357,VDS,CTCP Chứng khoán Rồng Việt,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
358,VFG,CTCP Khử trùng Việt Nam,Bán buôn hàng tiêu dùng,HOSE,,,,
359,VGC,Tổng Công ty Viglacera - CTCP,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",HOSE,,,,
360,VHC,CTCP Vĩnh Hoàn,Sản xuất thực phẩm,HOSE,,,,
361,VHM,CTCP Vinhomes,Phát triển bất động sản,HOSE,,,,
362,VIC,Tập đoàn VINGROUP - CTCP,Phát triển bất động sản,HOSE,,,,
363,VID,CTCP Đầu tư Phát triển Thương mại Viễn Đông,Bán buôn hàng tiêu dùng,HOSE,,,,
364,VIP,CTCP Vận tải Xăng dầu Vipco,Vận tải đường thủy,HOSE,,,,
365,VIS,CTCP Thép Việt Ý,Sản xuất các sản phẩm kim loại cơ bản,HOSE,,,,
366,VJC,CTCP Hàng không Vietjet,Vận tải hàng không,HOSE,,,,
367,VMD,CTCP Y Dược phẩm Vimedimex,Bán buôn hàng tiêu dùng,HOSE,,,,
368,VND,CTCP Chứng khoán VNDirect,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
369,VNE,Tổng Công ty cổ phần Xây dựng Điện Việt Nam,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
370,VNG,CTCP Du lịch Thành Thành Công,Khách sạn và phòng ở,HOSE,,,,
371,VNL,CTCP Logistics Vinalink,Hỗ trợ vận tải,HOSE,,,,
372,VNM,CTCP Sữa Việt Nam,Sản xuất thực phẩm,HOSE,,,,
373,VNS,CTCP Ánh Dương Việt Nam,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,HOSE,,,,
374,VOS,CTCP Vận tải Biển Việt Nam,Vận tải đường thủy,HOSE,,,,
375,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
376,VPD,CTCP Phát triển Điện lực Việt Nam,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
377,VPG,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Bán buôn hàng lâu bền,HOSE,,,,
378,VPH,CTCP Vạn Phát Hưng,Phát triển bất động sản,HOSE,,,,
379,VPI,CTCP Đầu tư Văn Phú - INVEST,Phát triển bất động sản,HOSE,,,,
380,VPS,CTCP Thuốc sát trùng Việt Nam (VIPESCO),"Sản xuất hóa chất, dược phẩm",HOSE,,,,
381,VRC,CTCP Bất động sản và Đầu tư VRC,Bất động sản,HOSE,,,,
382,VRE,CTCP Vincom Retail,Bất động sản,HOSE,,,,
383,VSC,CTCP Container Việt Nam,Hỗ trợ vận tải,HOSE,,,,
384,VSH,CTCP Thủy điện Vĩnh Sơn - Sông Hinh,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
385,VSI,CTCP Đầu tư và Xây dựng Cấp thoát nước,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
386,VTB,CTCP Viettronics Tân Bình,"Sản xuất các sản phẩm điện tử, vi tính",HOSE,,,,
387,VTO,CTCP Vận tải Xăng dầu Vitaco,Vận tải đường thủy,HOSE,,,,
388,YBM,CTCP Khoáng sản Công nghiệp Yên Bái,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
389,YEG,CTCP Tập đoàn Yeah1,"Quảng cáo, quan hệ công chúng và dịch vụ liên quan",HOSE,,,,
